产品名称(必填),产品类型(必填),产品类别(必填),点位功能类型(必填),点位名称(必填),标识符(必填),PLC数据起始地址(必填),PLC数据类型(必填),读写类型(必填),值范围（必填）,信号单位(必填),数据类型(必填),描述
productname,devType,category,devicetype,name,identifier,address,originaltype,accessMode,min-max,unit,type,specs
卸船机,s71500,dgiot,大车机构,大车2电流,DB200.DBW92,DB200.DBW92,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,大车机构,大车2转速,DB200.DBW94,DB200.DBW94,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,大车机构,前行允许,DB200.DBX96.0,DB200.DBX96.0,bool,只读,-131070,null,enum,1:允许;0:无
卸船机,s71500,dgiot,大车机构,后行允许,DB200.DBX96.1,DB200.DBX96.1,bool,只读,-131070,null,enum,1:允许;0:无
卸船机,s71500,dgiot,大车页面,大车前行,DB200.DBX96.2,DB200.DBX96.2,bool,只读,-131070,null,enum,1:前行;0:无
卸船机,s71500,dgiot,大车页面,大车后退,DB200.DBX96.3,DB200.DBX96.3,bool,只读,-131070,null,enum,1:后退;0:无
卸船机,s71500,dgiot,大车页面,岸侧锚定限位,DB200.DBX96.4,DB200.DBX96.4,bool,只读,-131070,null,enum,1:已锚定;0:无
卸船机,s71500,dgiot,大车页面,江侧锚定限位,DB200.DBX96.5,DB200.DBX96.5,bool,只读,-131070,null,enum,1:已锚定;0:无
卸船机,s71500,dgiot,大车页面,岸侧防风系缆限位1,DB200.DBX96.6,DB200.DBX96.6,bool,只读,-131070,null,enum,1:系住;0:未系
卸船机,s71500,dgiot,大车页面,岸侧防风系缆限位2,DB200.DBX96.7,DB200.DBX96.7,bool,只读,-131070,null,enum,1:系住;0:未系
卸船机,s71500,dgiot,大车页面,江侧防风系缆限位1,DB200.DBX97.0,DB200.DBX97.0,bool,只读,-131070,null,enum,1:系住;0:未系
卸船机,s71500,dgiot,大车页面,江侧防风系缆限位2,DB200.DBX97.1,DB200.DBX97.1,bool,只读,-131070,null,enum,1:系住;0:未系
卸船机,s71500,dgiot,小车页面,小车海侧停止限位,DB200.DBX97.2,DB200.DBX97.2,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,小车页面,小车海侧减速限位,DB200.DBX97.3,DB200.DBX97.3,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,小车页面,小车海侧减速检测,DB200.DBX97.4,DB200.DBX97.4,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,小车页面,小车料斗减速限位,DB200.DBX97.5,DB200.DBX97.5,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,小车页面,小车料斗停止限位,DB200.DBX97.6,DB200.DBX97.6,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,小车页面,小车前进信号,DB200.DBX97.7,DB200.DBX97.7,bool,只读,-131070,null,enum,1:前行;0:无
卸船机,s71500,dgiot,小车页面,小车后退信号,DB200.DBX98.0,DB200.DBX98.0,bool,只读,-131070,null,enum,1:后退;0:无
卸船机,s71500,dgiot,小车页面,小车料斗锚定限位,DB200.DBX98.1,DB200.DBX98.1,bool,只读,-131070,null,enum,1:已锚定;0:无
卸船机,s71500,dgiot,小车页面,小车后大梁锚定限位,DB200.DBX98.2,DB200.DBX98.2,bool,只读,-131070,null,enum,1:已锚定;0:无
卸船机,s71500,dgiot,小车页面,变幅放平限位,DB200.DBX98.3,DB200.DBX98.3,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,起升页面,抓斗上升信号,DB200.DBX98.4,DB200.DBX98.4,bool,只读,-131070,null,enum,1:上升;0:无
卸船机,s71500,dgiot,起升页面,抓斗下降信号,DB200.DBX98.5,DB200.DBX98.5,bool,只读,-131070,null,enum,1:下降;0:无
卸船机,s71500,dgiot,起升页面,起升跳绳限位1,DB200.DBX98.6,DB200.DBX98.6,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,起升页面,起升跳绳限位2,DB200.DBX98.7,DB200.DBX98.7,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,起升页面,起升超速开关1,DB200.DBX99.0,DB200.DBX99.0,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,起升页面,起升超速开关2,DB200.DBX99.1,DB200.DBX99.1,bool,只读,-131070,null,enum,1:正常;0:限位动作
卸船机,s71500,dgiot,开闭页面,闭斗指令,DB200.DBX99.2,DB200.DBX99.2,bool,只读,-131070,null,enum,1:开斗;0:无
卸船机,s71500,dgiot,开闭页面,开斗指令,DB200.DBX99.3,DB200.DBX99.3,bool,只读,-131070,null,enum,1:闭斗;0:无
